City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,verkhnevilyuysk,63.4453,120.3167,-34.09,95,100,0.2,R,1675829576
301,namibe,-15.1961,12.1522,20.72,77,95,2.55,A,1675829577
302,nara,34.6851,135.8049,12.5,44,54,5.04,J,1675829577
303,broome,42.2506,-75.833,3.81,82,75,4.63,U,1675829507
304,palana,59.1167,159.9667,-23.93,97,97,4.81,R,1675829578
305,rivadavia,-33.1905,-68.4608,29.24,27,13,4.08,A,1675829578
306,bac lieu,9.285,105.7244,28.96,64,20,7.08,V,1675829578
307,sorong,-0.8833,131.25,26.92,80,100,2.97,I,1675829579
308,santiago,-33.4569,-70.6483,24.92,50,0,1.03,C,1675829346
309,vilhena,-12.7406,-60.1458,19.8,98,53,0.93,B,1675829444
310,ho chi minh city,10.75,106.6667,32.01,58,40,4.12,V,1675829396
311,fergus falls,46.283,-96.0776,-3.8,91,0,2.06,U,1675829579
312,massarosa,43.8676,10.3397,3.43,58,1,2.77,I,1675829580
313,melnik,50.3505,14.4741,-5.38,79,2,2.3,C,1675829580
314,kilindoni,-7.9139,39.6668,27.24,78,100,4.84,T,1675829580
315,esperance,-33.8667,121.9,22.28,64,71,5.54,A,1675829581
316,gao,16.6362,1.637,22.9,15,89,5.16,M,1675829581
317,araouane,18.9048,-3.5265,18.3,20,1,5.4,M,1675829582
318,hopelchen,19.7667,-89.85,22.84,82,0,2.37,M,1675829583
319,sibolga,1.7427,98.7792,29.02,56,100,0.66,I,1675829584
320,north platte,41.1239,-100.7654,-1.46,87,0,1.34,U,1675829585
321,tocopilla,-22.092,-70.1979,22.91,80,20,1.17,C,1675829513
322,wajima,37.4,136.9,4.86,85,100,7.11,J,1675829587
323,nongstoin,25.5167,91.2667,15.62,41,96,2.59,I,1675829588
324,binzhou,37.3667,118.0167,5.88,33,100,4.58,C,1675829589
325,hillsborough,37.5741,-122.3794,12.06,75,20,2.06,U,1675829592
326,dunedin,-45.8742,170.5036,16.06,48,63,7.89,N,1675829593
327,maneadero,31.7167,-116.5667,14.1,39,0,3.1,M,1675829404
328,minna,9.6139,6.5569,23.91,19,86,3.55,N,1675829595
329,jalu,29.0331,21.5482,8.74,61,81,2.77,L,1675829595
330,xiantao,30.3833,113.4,9.53,86,100,4.55,C,1675829597
331,kavaratti,10.5669,72.642,26.69,71,93,5.59,I,1675829598
332,lakes entrance,-37.8811,147.981,20.09,63,31,4.58,A,1675829600
333,richards bay,-28.783,32.0377,22.65,94,33,3.5,Z,1675829336
334,matagami,49.7502,-77.6328,-12.33,88,99,5.75,C,1675829602
335,fortuna,40.5982,-124.1573,9.51,86,100,2.57,U,1675829605
336,flin flon,54.7682,-101.865,-7.05,92,13,2.87,C,1675829606
337,jambi,-1.6,103.6167,31.29,57,99,2.0,I,1675829608
338,okha,53.5739,142.9478,-23.07,80,100,4.95,R,1675829608
339,kourou,5.1552,-52.6478,25.03,93,95,3.02,G,1675829610
340,gonc,48.4667,21.2833,-2.14,89,70,3.52,H,1675829611
341,vestmanna,62.1564,-7.1664,6.64,83,100,24.5,F,1675829613
342,kouango,4.9934,19.9619,22.86,21,16,1.14,C,1675829614
343,inuvik,68.3499,-133.7218,-28.17,97,100,2.47,C,1675829615
344,paita,-5.0892,-81.1144,24.2,81,78,3.65,P,1675829615
345,kongwa,-6.2,36.4167,17.84,95,99,0.76,T,1675829616
346,clacton-on-sea,51.7897,1.156,-0.58,71,40,1.39,G,1675829617
347,sami,13.5833,-15.2,22.14,19,20,3.21,G,1675829617
348,port lincoln,-34.7333,135.8667,24.39,53,33,4.11,A,1675829618
349,malinovoye ozero,51.6753,79.7825,-16.27,96,99,1.19,R,1675829618
350,gasa,31.5,34.4667,7.71,54,82,9.58,P,1675829618
351,nemuro,43.3236,145.575,-3.24,57,25,1.34,J,1675829619
352,zhanaozen,43.3,52.8,1.82,79,97,6.95,K,1675829619
353,amzya,56.2354,54.3868,-21.3,100,100,1.44,R,1675829620
354,juneau,58.3019,-134.4197,1.23,97,100,1.54,U,1675829620
355,stornoway,58.2093,-6.3865,7.98,79,100,18.52,G,1675829621
356,bremerton,47.5673,-122.6326,7.69,84,0,7.2,U,1675829621
357,barcelos,41.5388,-8.6151,10.08,73,83,5.92,P,1675829621
358,jacqueville,5.2052,-4.4146,26.05,86,58,2.72,C,1675829622
359,mukhen,48.1,136.1,-16.25,64,4,4.09,R,1675829542
360,kenai,60.5544,-151.2583,-2.7,82,100,8.75,U,1675829622
361,knysna,-34.0363,23.0471,19.29,86,100,2.5,Z,1675829623
362,lourdes,43.1,-0.05,1.51,93,24,1.54,F,1675829623
363,buchanan,5.8808,-10.0467,25.09,92,100,2.14,L,1675829623
364,arraial do cabo,-22.9661,-42.0278,23.7,92,100,2.26,B,1675829371
365,champerico,14.3,-91.9167,25.31,71,6,1.49,G,1675829624
366,kumluca,36.3703,30.2869,3.34,46,4,4.81,T,1675829624
367,wenling,28.3669,121.36,9.97,77,100,5.16,C,1675829565
368,husavik,66.0449,-17.3389,-4.83,73,87,7.83,I,1675829625
369,campo verde,-20.4167,-54.0667,21.08,94,84,1.21,B,1675829443
370,northam,51.0333,-4.2167,2.56,90,0,3.11,G,1675829625
371,zlatoust,55.1711,59.6508,-19.0,100,84,1.4,R,1675829626
372,gladstone,-23.85,151.25,30.44,51,100,9.77,A,1675829534
